car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_price,price_per_km,engine_per_seat
Maruti Alto,Maruti,Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000,11.695255355062795,1.0,159.2
Hyundai Grand,Hyundai,Grand,5,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000,13.217675375388819,27.5,239.4
Hyundai i20,Hyundai,i20,11,60000,Individual,Petrol,Manual,17.0,1197,80.0,5,215000,12.278397958261774,3.5833333333333335,239.4
Maruti Alto,Maruti,Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000,12.328294703023394,6.108108108108108,199.6
Ford Ecosport,Ford,Ecosport,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000,13.25339339419516,19.0,299.6
Maruti Wagon R,Maruti,Wagon R,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000,12.765691290604371,10.0,199.6
Hyundai i10,Hyundai,i10,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000,12.660331092405906,7.875,239.4
Maruti Wagon R,Maruti,Wagon R,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000,12.923914877701906,23.412517131110096,199.6
Hyundai Venue,Hyundai,Venue,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000,13.864301674514206,52.5,199.6
Maruti Swift,Maruti,Swift,4,28321,Dealer,Petrol,Manual,16.6,1197,85.0,5,511000,13.144126826131089,18.043148193919706,239.4
Hyundai Verna,Hyundai,Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000,12.959846800844963,6.510616134072735,316.4
Renault Duster,Renault,Duster,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000,13.527829818844937,15.0,292.2
Maruti Ciaz,Maruti,Ciaz,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000,13.384729180332174,8.552631578947368,249.6
Maruti Swift,Maruti,Swift,5,20000,Individual,Diesel,Manual,25.2,1248,74.0,5,627000,13.348703414510117,31.35,249.6
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,65000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1425000,14.169683073439028,21.923076923076923,428.6
Maruti Swift,Maruti,Swift,7,62200,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000,12.959846800844963,6.832797427652733,249.6
Toyota Innova,Toyota,Innova,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000,13.312985389904174,5.5,311.75
Maruti Baleno,Maruti,Baleno,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,13.304686600863562,30.0,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000,13.26212705890841,14.375,239.4
Volkswagen Vento,Volkswagen,Vento,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000,12.959846800844963,9.042553191489361,319.6
Maruti Alto,Maruti,Alto,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000,12.345838935721968,9.2,199.6
Hyundai Creta,Hyundai,Creta,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000,14.018452218287162,81.66666666666667,316.4
Honda City,Honda,City,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000,13.527829818844937,15.0,299.4
Mahindra Bolero,Mahindra,Bolero,10,25000,Individual,Diesel,Manual,13.6,2523,63.0,7,350000,12.765691290604371,14.0,360.42857142857144
Maruti Swift Dzire,Maruti,Swift Dzire,6,90000,Individual,Diesel,Manual,26.59,1248,74.0,5,600000,13.304686600863562,6.666666666666667,249.6
Maruti Swift Dzire,Maruti,Swift Dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000,12.873904582205107,8.666666666666666,249.6
Honda City,Honda,City,14,77253,Dealer,Petrol,Manual,17.7,1497,78.0,5,145000,11.884495917930655,1.8769497624687714,299.4
Hyundai i20,Hyundai,i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000,13.45883704259595,28.0,239.4
Toyota Fortuner,Toyota,Fortuner,8,110000,Individual,Diesel,Manual,13.0,2982,168.5,7,1150000,13.955273369904273,10.454545454545455,426.0
Renault KWID,Renault,KWID,4,30000,Individual,Petrol,Manual,23.01,999,67.0,5,340000,12.73670383776449,11.333333333333334,199.8
Honda Amaze,Honda,Amaze,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000,13.049794835104816,11.627034731077938,239.8
Hyundai Santro,Hyundai,Santro,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000,11.736077016252437,1.5625,217.2
Mahindra XUV500,Mahindra,XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000,13.304686600863562,3.2432432432432434,311.2857142857143
Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000,12.847929163278053,4.222222222222222,249.6
Hyundai i20,Hyundai,i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000,13.652992804936396,56.666666666666664,279.2
Hyundai i20,Hyundai,i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000,13.301347705172173,14.95,239.4
Honda City,Honda,City,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000,13.45883704259595,22.450288646568314,299.4
Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000,12.923914877701906,7.321428571428571,249.6
Maruti Baleno,Maruti,Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000,13.28787951079572,11.253743300207908,239.4
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,850000,13.652992804936396,21.25,214.0
Mahindra KUV100,Mahindra,KUV100,3,17000,Individual,Petrol,Manual,18.15,1198,82.0,5,550000,13.217675375388819,32.35294117647059,239.6
Maruti Baleno,Maruti,Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000,13.345508528717259,28.40909090909091,318.0
Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000,13.304686600863562,11.11111111111111,239.4
Maruti Wagon R,Maruti,Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000,13.005831808336863,44.5,199.6
Maruti Ignis,Maruti,Ignis,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000,13.180634172318978,26.5,239.4
Maruti Wagon R,Maruti,Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000,12.923914877701906,7.701410673028157,199.6
Datsun RediGO,Datsun,RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68.0,5,350000,12.765691290604371,12.83791218868063,199.8
Hyundai Verna,Hyundai,Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000,13.161586013632684,4.7272727272727275,316.4
Hyundai i20,Hyundai,i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000,13.527829818844937,10.714285714285714,279.2
Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000,13.235693848424024,8.0,249.6
Hyundai i20,Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000,13.39239204133378,16.794871794871796,239.4
Hyundai Santro,Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000,11.736077016252437,2.232142857142857,217.2
Hyundai i20,Hyundai,i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,13.217675375388819,16.176470588235293,239.4
Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000,13.955273369904273,23.0,285.2857142857143
Volkswagen Vento,Volkswagen,Vento,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000,13.122365377402328,6.459948320413437,319.6
Mahindra Marazzo,Mahindra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000,13.805461232211272,27.5,213.85714285714286
Hyundai Verna,Hyundai,Verna,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000,13.219491903015438,11.508897986465035,298.6
Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000,12.765691290604371,4.666666666666667,224.0
Ford Aspire,Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000,13.122365377402328,8.620689655172415,239.2
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000,13.26212705890841,19.166666666666668,239.4
Hyundai Grand,Hyundai,Grand,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000,13.208542908506082,10.9,237.2
Ford Figo,Ford,Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000,13.171155446333852,27.496988425077255,239.2
Honda Amaze,Honda,Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000,12.899222326086994,8.0,239.6
Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000,11.951186847493476,4.1891891891891895,212.2
Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000,13.208542908506082,11.595744680851064,249.6
Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000,13.208542908506082,7.785714285714286,299.4
Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000,12.388398368982115,9.6,159.8
Maruti Vitara,Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000,13.493928313146206,27.884615384615383,249.6
Ford Aspire,Ford,Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000,13.081543466215237,16.0,239.2
Hyundai i20,Hyundai,i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000,12.834683971615659,25.0,239.4
Maruti Swift,Maruti,Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,225000,12.323860125621126,1.40625,249.6
Tata Tiago,Tata,Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,400000,12.899222326086994,12.461059190031152,239.8
Hyundai i20,Hyundai,i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000,13.217675375388819,25.0,239.4
Mahindra Scorpio,Mahindra,Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000,13.864301674514206,23.863636363636363,311.2857142857143
Volkswagen Polo,Volkswagen,Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000,13.017005083966255,5.769230769230769,239.6
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,74352,Dealer,Petrol,Automatic,11.74,1796,186.0,5,775000,13.560619598657233,10.423391435334624,359.2
Maruti Wagon R,Maruti,Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000,12.765691290604371,9.45945945945946,199.6
Honda City,Honda,City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000,13.217675375388819,7.971014492753623,299.6
Kia Seltos,Kia,Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000,13.8924725250259,89.10891089108911,299.4
Maruti Baleno,Maruti,Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000,13.26212705890841,11.057692307692308,239.4
Toyota Innova,Toyota,Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000,13.76421831620775,7.916666666666667,311.75
Maruti Alto,Maruti,Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000,12.345838935721968,4.181818181818182,159.2
Hyundai i20,Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000,12.506180941677357,1.6875,279.2
